Country Name,1982,1987,1992,1997,2002,2007
Australia,456227,666233,351078,377552,575104,1122688
Austria,18002,110999,227841,65082,178117,153763
Belgium,18478,42556,106947,50870,219560,294270
Canada,376129,875013,698764,761611,1026702,1229905
Switzerland,81040,130857,247406,65218,186125,344872
Chile,-63513,-20953,13650,23454,37362,59383
Czech Republic,-52946,5671,29999,46002,47402,250889
Germany,23,1714683,2659698,695914,804608,43087
Denmark,9319,32839,65466,74568,46306,87989
Spain,-43292,-67680,319270,905020,2838240,2259000
Estonia,25900,15497,-111876,-1197,-18406,-15151
United Kingdom,-97495,98758,205443,498998,968350,2030075
Greece,100241,178887,464636,297431,113586,80157
Hungary,-115800,-91554,99980,78562,61589,25150
Ireland,-50745,-115193,-10648,83412,199949,198144
Iceland,260,646,-1054,1020,2940,12007
Israel,2604,65418,456923,245334,102935,273635
Japan,50002,-298339,46286,-100333,164199,277580
Luxembourg,2552,12831,20040,19940,14473,42279
Mexico,-1519000,-1785998,-1302868,-2354719,-2911437,-246002
Netherlands,71525,139748,186409,178553,146020,65713
Norway,24805,38715,46903,58773,67400,163433
New Zealand,-2908,-9418,118016,42584,134629,62413
Poland,-119193,-304973,-159999,-85199,-183471,-178456
Slovak Republic,-34777,-35312,-15108,-2964,1199,-8855
Sweden,29799,134569,156460,58470,141723,262453
Turkey,-69997,-100001,-119998,-99999,-39997,-50000
United States,3402260,3428740,4516808,8612074,5206538,5033689